kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,depth
757099,000757099-01,122785244,FP,1,1,1,0.7239297322,72.85240475
892667,000892667-01,122785148,FP,1,1,1,2.262005383,30.40742439
1025986,001025986-01,122784720,FP,1,1,1,275.0717867,204.70133869999998
1026133,001026133-01,122784832,FP,1,1,2,1.346372541,21.06382872
1026133,001026133-02,122784832,FP,1,2,2,186.1812286,278.0230957
1026474,001026474-01,122784845,FP,1,1,2,223.39930930000003,2545.847804
1026474,001026474-02,122784845,FP,1,2,2,205.8525553,1451.1931220000001
1026957,001026957-01,137099260,PC,0,1,1,21.76130161,1268.859439
1028018,001028018-01,137146519,FP,1,1,1,0.6150744623,141.178606
1160891,001160891-01,122679713,FP,1,1,4,0.9404658802,51.71228209
1160891,001160891-02,122679713,FP,1,2,4,0.9405219239,53.33016577
1160891,001160891-03,122679713,FP,1,3,4,65.62419132,573.1361852000001
1160891,001160891-04,122679713,FP,1,4,4,84.51541761,545.6512055
1162345,001162345-01,137098942,FP,1,1,2,1.109127248,30.57813144
1162345,001162345-02,137098942,FP,1,2,2,0.5545437753,24.95230085
1292087,001292087-01,122674242,FP,1,1,1,1.094797434,0.04124869196000001
1293031,001293031-01,122679908,FP,1,1,3,1.078715302,33.10585599
1293031,001293031-02,122679908,FP,1,2,3,1.078742329,16.3614588
1294670,001294670-01,137147024,FP,1,1,2,1.3431482890000002,78.66885854
1294670,001294670-02,137147024,FP,1,2,2,0.715634605,125.02562859999999
1294756,001294756-01,137147023,FP,1,1,8,0.7952906092,4.677960818
1294756,001294756-02,137147023,FP,1,2,8,327.6637414,232.43999159999998
1294756,001294756-03,137147023,FP,1,3,8,527.2504407,196.8415229
1294756,001294756-04,137147023,FP,1,4,8,193.29960069999998,162.59240690000001
1294756,001294756-05,137147023,FP,1,5,8,252.7528847,68.52510013
1294756,001294756-06,137147023,FP,1,6,8,400.2640202,264.4010257
1294756,001294756-07,137147023,FP,1,7,8,546.4842284,353.9392358
1294756,001294756-08,137147023,FP,1,8,8,278.18332139999995,98.26131212
1296164,001296164-01,137313654,FP,1,1,2,1.9610923999999998,41.64390929
1296164,001296164-02,137313654,FP,1,2,2,65.23539735,264.7962985
1430590,001430590-01,122680230,FP,1,1,2,1.386643579,26.76781889
1430590,001430590-02,122680230,FP,1,2,2,1.386273602,0.04736397774
1431501,001431501-01,137098461,FP,1,1,1,502.71692609999997,212.5233647
