,kic,tic,tess_light_curves
0,757099,122785244,0
1,892667,122785148,0
2,1025986,122784720,0
3,1026133,122784832,0
4,1026133,122784832,0
5,1026474,122784845,0
6,1026474,122784845,0
7,1026957,137099260,2
8,1028018,137146519,0
9,1160891,122679713,0
10,1160891,122679713,0
11,1160891,122679713,0
12,1160891,122679713,0
13,1162345,137098942,0
14,1162345,137098942,0
15,1292087,122674242,0
16,1293031,122679908,0
17,1293031,122679908,0
18,1294670,137147024,0
19,1294670,137147024,0
20,1294756,137147023,0
21,1294756,137147023,0
22,1294756,137147023,0
23,1294756,137147023,0
24,1294756,137147023,0
25,1294756,137147023,0
26,1294756,137147023,0
27,1294756,137147023,0
28,1296164,137313654,0
29,1296164,137313654,0
30,1430590,122680230,0
31,1430590,122680230,0
32,1431501,137098461,0
33,1431794,137098539,0
34,1431794,137098539,0
35,1432149,137147383,0
36,1433399,137313995,0
37,1433399,137313995,0
38,1433399,137313995,0
39,1433399,137313995,0
40,1433399,137313995,0
41,1433399,137313995,0
42,1434660,351052646,0
43,1434660,351052646,0
44,1434660,351052646,0
45,1434660,351052646,0
46,1570924,122673809,0
47,1570924,122673809,0
48,1570924,122673809,0
49,1571152,122680608,0
50,1571152,122680608,0
51,1571152,122680608,0
52,1571511,122680701,0
53,1571511,122680701,0
54,1571717,122783725,0
55,1571717,122783725,0
56,1571717,122783725,0
57,1571717,122783725,0
58,1571717,122783725,0
59,1571717,122783725,0
60,1571717,122783725,0
61,1574792,137314382,0
62,1575873,137346267,0
63,1576115,137346329,0
64,1576115,137346329,0
65,1576144,137346492,0
66,1576144,137346492,0
67,1576144,137346492,0
68,1576144,137346492,0
69,1576144,137346492,0
70,1576144,137346492,0
71,1576144,137346492,0
72,1576144,137346492,0
73,1577912,137545766,0
74,1718594,122673431,0
75,1718594,122673431,0
76,1718958,122680921,0
77,1721614,137306596,0
78,1721614,137306596,0
79,1722916,351053462,0
80,1722916,351053462,0
81,1722916,351053462,0
82,1722916,351053462,0
83,1722916,351053462,0
84,1722916,351053462,0
85,1722916,351053462,0
86,1722916,351053462,0
87,1722916,351053462,0
88,1723078,351053716,0
89,1724222,137488000,0
90,1724222,137488000,0
91,1724961,137545849,0
92,1724968,137545845,0
93,1724968,137545845,0
94,1724968,137545845,0
95,1724968,137545845,0
96,1724968,137545845,0
97,1724968,137545845,0
98,1849235,120761974,0
99,1849235,120761974,0
100,1849235,120761974,0
101,1849235,120761974,0
102,1849555,120825571,0
103,1868404,137306325,0
104,1870849,137346870,0
105,1870849,137346870,0
106,1871056,137347078,0
107,1871056,137347078,0
108,1872948,137638072,0
109,1872948,137638072,0
110,1872948,137638072,0
111,1873513,137683938,0
112,1873543,137683989,0
113,1873543,137683989,0
114,1873543,137683989,0
115,1873543,137683989,0
116,1995431,120762046,0
117,1995431,120762046,0
118,1996399,120890307,0
119,2010152,122373874,0
120,2010414,122507920,0
121,2010414,122507920,0
122,2010607,122507978,2
123,2011424,122516117,0
124,2011424,122516117,0
125,2012722,122681330,0
126,2012722,122681330,0
127,2013883,137097481,0
128,2014991,137306310,0
129,2014991,137306310,0
130,2014991,137306310,0
131,2014991,137306310,0
132,2014991,137306310,0
133,2014991,137306310,0
134,2014991,137306310,0
135,2014991,137306310,0
136,2014991,137306310,0
137,2014991,137306310,0
138,2018261,137546489,0
139,2018261,137546489,0
140,2018261,137546489,0
141,2018261,137546489,0
142,2018261,137546489,0
143,2018261,137546489,0
144,2018261,137546489,0
145,2019297,137637767,0
146,2019297,137637767,0
147,2019477,137684059,0
148,2019477,137684059,0
149,2140360,120636655,0
150,2141387,120825218,0
151,2141387,120825218,0
152,2141387,120825218,0
153,2141387,120825218,0
154,2141387,120825218,0
155,2141938,120890463,0
156,2141938,120890463,0
157,2142522,120964116,0
158,2156514,122516373,0
159,2156998,122516325,0
160,2157489,122672832,0
161,2157489,122672832,0
162,2158190,122681588,0
163,2158190,122681588,0
164,2158190,122681588,0
165,2158208,122681634,0
166,2162904,137347632,0
167,2164165,137546857,0
168,2164791,137637285,2
169,2164791,137637285,2
170,2166206,137818256,0
171,2166218,137818426,0
172,2167600,137978393,0
173,2167600,137978393,0
174,2167600,137978393,0
175,2167600,137978393,0
176,2167600,137978393,0
177,2167600,137978393,0
178,2167600,137978393,0
179,2167600,137978393,0
180,2167600,137978393,0
181,2167600,137978393,0
182,2168333,138035706,0
183,2168333,138035706,0
184,2282763,120636679,0
185,2283124,120694515,0
186,2283124,120694515,0
187,2285420,120970425,0
188,2285420,120970425,0
189,2285420,120970425,0
190,2285420,120970425,0
191,2285586,121022886,0
192,2285586,121022886,0
193,2285586,121022886,0
194,2297349,122365458,0
195,2297728,122365299,0
196,2297728,122365299,0
197,2297728,122365299,0
198,2297728,122365299,0
199,2297728,122365299,0
200,2300319,122672338,0
201,2300529,122681901,0
202,2300529,122681901,0
203,2300529,122681901,0
204,2300603,122682036,0
205,2302548,137148674,0
206,2302548,137148674,0
207,2303102,137221444,0
208,2303102,137221444,0
209,2303102,137221444,0
210,2303102,137221444,0
211,2303102,137221444,0
212,2303102,137221444,0
213,2303102,137221444,0
214,2303102,137221444,0
215,2303102,137221444,0
216,2303365,137221310,0
217,2303365,137221310,0
218,2304168,137315805,0
219,2304168,137315805,0
220,2304566,351055388,0
221,2304655,351055651,0
222,2305543,137347686,0
223,2305866,137487105,0
224,2305866,137487105,0
225,2306463,137486947,0
226,2306463,137486947,0
227,2306463,137486947,0
228,2307415,137636895,0
229,2307415,137636895,0
230,2307533,137636938,0
231,2307533,137636938,0
232,2307533,137636938,0
233,2307533,137636938,0
234,2309579,137890355,0
235,2309719,137890266,0
236,2425057,121022681,0
237,2425057,121022681,0
238,2439211,122507229,0
239,2439211,122507229,0
240,2441728,122782094,0
241,2442118,122782017,0
242,2442118,122782017,0
243,2442118,122782017,0
244,2442118,122782017,0
245,2443393,137149053,0
246,2443827,137221250,0
247,2444412,137316027,0
248,2444769,137316003,0
249,2444769,137316003,0
250,2444769,137316003,0
251,2444769,137316003,0
252,2444769,137316003,0
253,2444769,137316003,0
254,2445665,137348022,0
255,2446436,137486740,0
256,2447832,137636800,0
257,2447832,137636800,0
258,2447832,137636800,0
259,2447832,137636800,0
260,2447832,137636800,0
261,2447832,137636800,0
262,2447832,137636800,0
263,2449407,137817552,0
264,2452450,138209350,0
265,2452977,138209532,0
266,2554867,120694120,0
267,2555396,120762799,0
268,2555680,120824797,0
269,2555680,120824797,0
270,2555680,120824797,0
