,kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,target_pixel_files
0,757099,000757099-01,122785244,FP,1,1,1,0.7239297322,0
1,892667,000892667-01,122785148,FP,1,1,1,2.262005383,0
2,1025986,001025986-01,122784720,FP,1,1,1,275.0717867,0
3,1026133,001026133-01,122784832,FP,1,1,2,1.346372541,0
4,1026133,001026133-02,122784832,FP,1,2,2,186.1812286,0
5,1026474,001026474-01,122784845,FP,1,1,2,223.39930930000003,0
6,1026474,001026474-02,122784845,FP,1,2,2,205.8525553,0
7,1026957,001026957-01,137099260,PC,0,1,1,21.76130161,1
8,1028018,001028018-01,137146519,FP,1,1,1,0.6150744623,0
9,1160891,001160891-01,122679713,FP,1,1,4,0.9404658802,0
10,1160891,001160891-02,122679713,FP,1,2,4,0.9405219239,0
11,1160891,001160891-03,122679713,FP,1,3,4,65.62419132,0
12,1160891,001160891-04,122679713,FP,1,4,4,84.51541761,0
13,1162345,001162345-01,137098942,FP,1,1,2,1.109127248,0
14,1162345,001162345-02,137098942,FP,1,2,2,0.5545437753,0
15,1292087,001292087-01,122674242,FP,1,1,1,1.094797434,0
16,1293031,001293031-01,122679908,FP,1,1,3,1.078715302,0
17,1293031,001293031-02,122679908,FP,1,2,3,1.078742329,0
18,1294670,001294670-01,137147024,FP,1,1,2,1.3431482890000002,0
19,1294670,001294670-02,137147024,FP,1,2,2,0.715634605,0
20,1294756,001294756-01,137147023,FP,1,1,8,0.7952906092,0
21,1294756,001294756-02,137147023,FP,1,2,8,327.6637414,0
22,1294756,001294756-03,137147023,FP,1,3,8,527.2504407,0
23,1294756,001294756-04,137147023,FP,1,4,8,193.2996007,0
24,1294756,001294756-05,137147023,FP,1,5,8,252.7528847,0
25,1294756,001294756-06,137147023,FP,1,6,8,400.2640202,0
26,1294756,001294756-07,137147023,FP,1,7,8,546.4842284,0
27,1294756,001294756-08,137147023,FP,1,8,8,278.18332139999995,0
28,1296164,001296164-01,137313654,FP,1,1,2,1.9610924,0
29,1296164,001296164-02,137313654,FP,1,2,2,65.23539735,0
30,1430590,001430590-01,122680230,FP,1,1,2,1.386643579,0
31,1430590,001430590-02,122680230,FP,1,2,2,1.386273602,0
32,1431501,001431501-01,137098461,FP,1,1,1,502.7169261,0
33,1431794,001431794-01,137098539,FP,1,1,2,1.251191428,0
34,1431794,001431794-02,137098539,FP,1,2,2,0.5159582141,0
35,1432149,001432149-01,137147383,FP,1,1,1,0.5832063217,0
36,1433399,001433399-01,137313995,FP,1,1,6,2.12645855,0
37,1433399,001433399-02,137313995,FP,1,2,6,563.3835622,0
38,1433399,001433399-03,137313995,FP,1,3,6,253.1255551,0
39,1433399,001433399-04,137313995,FP,1,4,6,540.0978596,0
40,1433399,001433399-05,137313995,FP,1,5,6,225.4947712,0
41,1433399,001433399-06,137313995,FP,1,6,6,57.11581453,0
42,1434660,001434660-01,351052646,FP,1,1,5,3.693373963,0
43,1434660,001434660-02,351052646,FP,1,2,5,155.63546399999996,0
44,1434660,001434660-03,351052646,FP,1,3,5,0.6342029688,0
45,1434660,001434660-05,351052646,FP,1,5,5,0.6341981381,0
46,1570924,001570924-01,122673809,FP,1,1,3,322.1613864,0
47,1570924,001570924-02,122673809,FP,1,2,3,443.6721928,0
48,1570924,001570924-03,122673809,FP,1,3,3,223.3743446,0
49,1571152,001571152-01,122680608,FP,1,1,3,0.6081327522,0
50,1571152,001571152-02,122680608,FP,1,2,3,0.608161333,0
51,1571152,001571152-03,122680608,FP,1,3,3,0.6578410831,0
52,1571511,001571511-01,122680701,FP,0,1,2,14.02245075,0
53,1571511,001571511-02,122680701,FP,1,2,2,14.02251603,0
54,1571717,001571717-01,122783725,FP,1,1,7,1.01980307,0
55,1571717,001571717-02,122783725,FP,1,2,7,15.10740668,0
56,1571717,001571717-03,122783725,FP,1,3,7,26.96296267,0
57,1571717,001571717-04,122783725,FP,1,4,7,19.98545558,0
58,1571717,001571717-05,122783725,FP,1,5,7,100.9508264,0
59,1571717,001571717-06,122783725,FP,1,6,7,43.17619735,0
60,1571717,001571717-07,122783725,FP,1,7,7,25.94343244,0
61,1574792,001574792-01,137314382,FP,1,1,1,2.783977516,0
62,1575873,001575873-01,137346267,PC,0,1,1,0.6289957287,0
63,1576115,001576115-01,137346329,FP,1,1,2,0.970027808,0
64,1576115,001576115-02,137346329,FP,1,2,2,0.9700592788,0
65,1576144,001576144-01,137346492,FP,1,1,8,548.7432382000002,0
66,1576144,001576144-02,137346492,FP,1,2,8,2.686669567,0
67,1576144,001576144-03,137346492,FP,1,3,8,2.686662185,0
68,1576144,001576144-04,137346492,FP,1,4,8,498.4308736,0
69,1576144,001576144-05,137346492,FP,1,5,8,459.7701977,0
70,1576144,001576144-06,137346492,FP,1,6,8,376.1725546,0
71,1576144,001576144-07,137346492,FP,1,7,8,543.091418,0
72,1576144,001576144-08,137346492,FP,1,8,8,197.2209297,0
73,1577912,001577912-01,137545766,FP,1,1,1,0.6801387535,0
74,1718594,001718594-01,122673431,FP,1,1,2,2.718663568,0
75,1718594,001718594-02,122673431,FP,1,2,2,0.7745075456,0
76,1718958,001718958-01,122680921,PC,0,1,1,1.419764734,0
77,1721614,001721614-01,137306596,FP,1,1,2,368.3937981,0
78,1721614,001721614-02,137306596,FP,1,2,2,523.9802324,0
79,1722916,001722916-01,351053462,FP,1,1,9,1.813534947,0
80,1722916,001722916-02,351053462,FP,1,2,9,1.813821968,0
81,1722916,001722916-03,351053462,FP,1,3,9,113.456084,0
82,1722916,001722916-04,351053462,FP,1,4,9,59.10847374,0
83,1722916,001722916-05,351053462,FP,1,5,9,22.01127389,0
84,1722916,001722916-06,351053462,FP,1,6,9,359.0589034,0
85,1722916,001722916-07,351053462,FP,1,7,9,80.91075234,0
86,1722916,001722916-08,351053462,FP,1,8,9,95.85829765,0
87,1722916,001722916-09,351053462,FP,1,9,9,105.7236783,0
88,1723078,001723078-01,351053716,PC,0,1,1,330.0168297,0
89,1724222,001724222-01,137488000,FP,1,1,4,0.8278893748999999,0
90,1724222,001724222-04,137488000,FP,1,4,4,127.31506509999998,0
91,1724961,001724961-01,137545849,FP,1,1,1,0.6205960040999999,0
92,1724968,001724968-01,137545845,FP,1,1,6,0.620596841,0
93,1724968,001724968-02,137545845,FP,1,2,6,305.1162178,0
94,1724968,001724968-03,137545845,FP,1,3,6,126.3181509,0
95,1724968,001724968-04,137545845,FP,1,4,6,175.4825399,0
96,1724968,001724968-05,137545845,FP,1,5,6,620.0225922999998,0
97,1724968,001724968-06,137545845,FP,1,6,6,139.78385459999998,0
98,1849235,001849235-01,120761974,FP,1,1,4,0.937078713,0
99,1849235,001849235-02,120761974,FP,1,2,4,0.9371046649,0
100,1849235,001849235-03,120761974,FP,1,3,4,4.685457561000001,0
101,1849235,001849235-04,120761974,FP,1,4,4,0.5206137222999999,0
102,1849555,001849555-01,120825571,FP,1,1,1,1.672989581,0
