kepid,koi_disposition,koi_pdisposition,tce_plnt_num,koi_score,w2p_score,w2p_disposition,av_disposition,image
2304168_2,FALSE POSITIVE,FALSE POSITIVE,2,0.0,0.0010366036,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2304168_2_1.png
2304235_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.0042201807,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2304235_1_1.png
2304566_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.0031929458000000003,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2304566_1_1.png
2304320_1,CONFIRMED,CONFIRMED,1,0.998,0.9917108,CONFIRMED,CONFIRMED,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2304320_1_1.png
2303365_2,FALSE POSITIVE,FALSE POSITIVE,2,0.0,0.00013583116,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2303365_2_1.png
2303102_10,FALSE POSITIVE,FALSE POSITIVE,10,0.0,0.00022556231,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2303102_10_1.png
2303903_1,CONFIRMED,CONFIRMED,1,0.8,0.8690271,CONFIRMED,CONFIRMED,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2303903_1_1.png
2303365_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.0063696974,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2303365_1_1.png
2304604_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.0012699467,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2304604_1_1.png
2305255_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.0057609538,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/2305255_1_1.png
757099_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.00023996376,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/757099_1_1.png
892376_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.0033675325,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/892376_1_1.png
757450_1,CONFIRMED,CONFIRMED,1,0.999,0.9608989,CONFIRMED,CONFIRMED,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/757450_1_1.png
892376_2,FALSE POSITIVE,FALSE POSITIVE,2,0.0,0.0019803273,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/892376_2_1.png
892376_4,FALSE POSITIVE,FALSE POSITIVE,4,0.0,0.012768699,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/892376_4_1.png
892376_3,FALSE POSITIVE,FALSE POSITIVE,3,0.0,8.193708000000001e-08,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/892376_3_1.png
892376_5,FALSE POSITIVE,FALSE POSITIVE,5,0.0,0.0004068092,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/892376_5_1.png
892772_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.72403926,CONFIRMED,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/892772_1_1.png
892376_6,FALSE POSITIVE,FALSE POSITIVE,6,0.0,5.419053e-10,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/892376_6_1.png
892667_1,FALSE POSITIVE,FALSE POSITIVE,1,0.0,0.007427188,FALSE POSITIVE,FALSE POSITIVE,https://w210-project.s3.us-east-2.amazonaws.com/light_curve_png/892667_1_1.png
