kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,depth,target_pixel_files,triceratops_probability,triceratops_disposition
1026957,001026957-01,137099260,PC,0,1,1,21.76130161,1268.859439,1,0.5188,PC
2010607,002010607-01,122507978,FP,0,1,1,18.6333226,916.5861366,1,0.821,PC
2164791,002164791-02,137637285,FP,1,2,3,631.1280897,1986.6772059999998,1,0.2997,FP
2164791,002164791-03,137637285,FP,1,3,3,478.8480131,2126.861532,1,0.3067,FP
2571868,002571868-01,122452155,FP,1,1,1,1.323570384,68.59154512,1,0.6767,PC
2692704,002692704-01,120629872,FP,1,1,4,552.8618828,861.8086546,1,0.3069,FP
2692704,002692704-02,120629872,FP,1,2,4,438.338978,969.9704327,1,0.306,FP
2692704,002692704-03,120629872,FP,1,3,4,335.19177,892.3747193,1,0.3013,FP
2692704,002692704-04,120629872,FP,1,4,4,78.42884414,230.33293319999999,1,,
2708156,002708156-01,122375269,FP,0,1,1,1.8912832030000002,32117.89501,1,-1.0,
2711114,002711114-01,122682776,FP,0,1,1,1.429450962,3024.610847,1,-1.0,
3120320,003120320-01,137549183,FP,0,1,2,10.26561261,150458.6445,1,0.7128,PC
3120320,003120320-02,137549183,FP,1,2,2,10.26561485,13791.1782,1,0.7202,PC
3219256,003219256-01,120962639,FP,1,1,1,0.5355718818,57.02565502,1,-1.0,
3234139,003234139-01,137095222,FP,1,1,3,522.7513885,75.13426348,1,0.4759,FP
3234139,003234139-02,137095222,FP,1,2,3,369.8978128,427.6451623,1,0.4956,FP
3234139,003234139-03,137095222,FP,1,3,3,638.9554517,303.6468515,1,0.5207,PC
3327980,003327980-01,121124831,FP,0,1,2,2.115499797,403283.4274,1,0.6289,PC
3327980,003327980-02,121124831,FP,1,2,2,50.77408358,15618.75201,1,,
3330684,003330684-01,121535634,FP,0,1,1,1.2613282190000001,81.71003287,1,0.1122,FP
3335816,003335816-01,394179202,FP,0,1,1,3.71101429,12809.67662,1,0.6463,PC
3429637,003429637-01,121124576,FP,1,1,1,0.8530198272,20.16617305,1,-1.0,
3437940,003437940-01,122142317,FP,1,1,5,0.5905796784,110.2116331,1,-1.0,
3437940,003437940-02,122142317,FP,1,2,5,27.52141288,225.50748849999997,1,0.8563,PC
3437940,003437940-03,122142317,FP,1,3,5,100.1625711,2344.69717,1,0.8653,PC
3437940,003437940-04,122142317,FP,1,4,5,47.45628317,1192.4088199999999,1,,
3437940,003437940-05,122142317,FP,1,5,5,60.34386434,1851.737709,1,0.8541,PC
3439031,003439031-01,122304494,FP,0,1,1,2.976023757,435132.2125,1,0.745,PC
3542573,003542573-01,122606463,FP,0,1,2,3.4713999689999997,91706.84906000001,1,0.7015,PC
3544595,003544595-01,137151335,PC,0,1,1,4.72674458,270.6771451,1,0.5689,PC
3547874,003547874-01,137550312,FP,1,1,1,19.69217905,1468.553908,1,0.7578,PC
3557821,003557821-01,378083834,FP,1,1,1,408.96052280000004,117.5237925,1,0.4462,FP
3632418,003632418-01,121214185,PC,0,1,1,2.785817978,67.43450318,1,0.7245,PC
3744192,003744192-01,122519640,FP,1,1,1,450.8478536,89.05807434,1,0.5419,PC
3850086,003850086-01,137152031,FP,1,1,1,19.10164925,260.4731097,1,0.8079,PC
4035667,004035667-01,120315082,FP,0,1,4,2.8736512569999997,169.2776322,1,0.447,FP
4035667,004035667-02,120315082,FP,1,2,4,0.5259195415,16.25488837,1,-1.0,
4035667,004035667-03,120315082,FP,1,3,4,0.5259005869,8.068612568999999,1,-1.0,
4035667,004035667-04,120315082,FP,1,4,4,18.76941963,133.8434959,1,0.5657,PC
4044005,004044005-01,121326995,FP,0,1,1,17.51201592,4458.982325,1,0.7187,PC
4142768,004142768-01,121122016,FP,1,1,3,13.9958517,19421.87311,1,0.8227,PC
4142768,004142768-02,121122016,FP,1,2,3,13.99594405,2980.601484,1,0.8149,PC
