uid,from_uid,learning_rate,batch_size,number_of_dense_layers,further_global_cnn_layers,cnn_global_kernel,cnn_global_maxpool,cnn_global_stride,first_local_cnn_filters,further_local_cnn_filters,cnn_local_kernel,cnn_local_maxpool,cnn_local_stride,size_of_dense_layers,dense_dropout,first_global_cnn_filters,val_accuracy,val_auc,val_loss
99,,0.0001,256,5,2,5,7,3,32,128,5,7,3,512,0.2,32,0.968001187,0.975085974,0.193983555
12,,0.0001,256,4,3,5,7,3,32,128,5,7,3,512,0.5,32,0.967703521,0.974417329,0.247026771
63,,0.0001,256,4,3,5,7,3,8,128,3,7,3,512,0.5,32,0.967703521,0.97255224,0.203159869
81,,0.0001,256,5,3,5,7,3,24,128,5,7,3,512,0.5,32,0.967703521,0.973509133,0.225267559
28,,0.0001,256,5,2,5,7,3,32,64,5,7,1,384,0.2,24,0.967554688,0.976971865,0.186265886
90,,0.001,224,2,3,5,3,3,32,112,5,7,2,512,0,32,0.967554688,0.973986149,0.148570418
83,,0.0001,256,4,3,5,7,3,32,128,5,7,3,512,0.5,32,0.967405856,0.974032283,0.207181752
85,,0.0001,256,3,2,5,5,3,24,48,3,7,2,512,0,24,0.967405856,0.975244701,0.169683069
1,,0.0001,256,4,3,5,7,2,16,128,5,7,3,512,0.5,32,0.967257023,0.97466749,0.197908014
40,,0.0001,256,5,3,5,7,3,32,128,5,7,2,512,0.5,32,0.967257023,0.974684417,0.229430556
80,,0.0001,256,5,3,5,7,3,16,128,5,7,1,512,0,8,0.967257023,0.97632426,0.165152863
20,,0.0001,256,5,3,5,7,3,32,128,5,7,2,512,0.5,32,0.96710819,0.975212514,0.223633379
96,,0.0001,224,5,3,5,7,3,32,96,5,7,2,512,0.5,32,0.96710819,0.974646747,0.198994175
30,,0.0001,256,5,3,5,7,3,32,128,5,7,3,512,0.5,32,0.966959357,0.97285378,0.222784072
98,,0.0001,256,2,2,5,5,3,24,128,5,7,3,512,0.5,32,0.966959357,0.972762525,0.190393195
15,,0.0001,256,5,2,5,7,3,32,128,5,7,2,320,0.2,16,0.966810524,0.975337327,0.197142839
41,,0.0001,256,4,3,5,7,3,32,128,5,7,2,512,0.5,32,0.966810524,0.976065278,0.21273692
32,,0.0001,256,5,3,5,7,3,24,128,5,7,3,512,0.5,24,0.966661692,0.974544525,0.206023097
38,,0.0001,256,5,3,5,7,3,32,128,5,7,3,512,0,8,0.966661692,0.973099709,0.182523295
59,,0.0001,256,5,3,5,7,3,24,128,5,7,2,512,0.5,32,0.966661692,0.975026965,0.214672729
44,,0.0001,256,2,3,3,7,3,24,128,5,7,3,512,0,24,0.966512859,0.975540459,0.176934108
86,,0.001,224,4,3,3,7,3,16,32,3,7,1,192,0,16,0.966512859,0.974269271,0.132331058
93,,0.0001,256,5,3,5,7,3,32,128,5,7,2,512,0.5,32,0.966512859,0.974975884,0.229572326
25,,0.0001,256,5,3,5,7,3,32,128,5,7,2,512,0.5,32,0.966364026,0.974865496,0.215850577
43,,0.0001,256,5,3,5,7,3,32,128,5,7,2,320,0.5,32,0.966215193,0.971782029,0.283673942
91,,0.0001,256,5,3,5,5,3,32,128,3,5,1,512,0.5,8,0.966215193,0.974858105,0.198662117
23,,0.0001,256,4,3,5,5,3,16,128,3,5,3,512,0,24,0.96606636,0.972991109,0.219758779
37,,0.0001,256,5,3,5,7,3,32,112,5,7,3,512,0.5,32,0.96606636,0.974421084,0.218000352
56,,0.0001,256,5,3,5,7,3,32,128,5,7,3,512,0.5,32,0.96606636,0.974480212,0.226397783
36,,0.0001,256,4,3,5,7,3,16,96,5,7,3,448,0.2,24,0.965917528,0.974194407,0.191724285
69,,0.0001,256,5,3,5,7,3,32,128,3,7,3,512,0.5,32,0.965917528,0.974657476,0.224811152
88,,0.0001,256,5,2,5,7,3,24,128,5,7,2,512,0.5,32,0.965917528,0.976129413,0.207009733
8,,0.0001,256,3,3,5,7,3,32,128,5,7,1,320,0,24,0.965768695,0.974957466,0.179718494
33,,0.0001,256,2,2,5,7,2,24,80,5,7,2,512,0.2,32,0.965768695,0.974942267,0.16144301
74,,0.0001,256,5,3,5,7,3,24,128,5,7,3,512,0.5,32,0.965768695,0.974221826,0.221408546
3,,0.0001,256,5,3,5,7,3,32,128,5,7,3,512,0.5,32,0.965471029,0.971771002,0.2446004
34,,0.0001,96,5,2,3,7,3,24,80,5,5,1,448,0.5,24,0.965471029,0.973671794,0.177947655
57,,0.0001,256,5,2,5,5,3,32,112,5,7,1,512,0.5,32,0.965471029,0.973921597,0.208537757
52,,0.0001,256,5,3,5,7,3,32,128,5,7,2,512,0.5,32,0.965173364,0.974944651,0.201600134
82,,0.0001,256,5,3,3,7,3,24,128,5,7,1,512,0.5,32,0.965173364,0.975220323,0.202258825
61,,0.0001,256,2,3,5,7,3,8,128,5,7,1,512,0,8,0.965024531,0.97461772,0.148005366
71,,0.0001,256,5,3,5,7,3,32,128,5,7,3,512,0.5,32,0.965024531,0.972475767,0.223618418
7,,0.0001,256,5,2,5,5,3,32,112,3,7,2,320,0.5,24,0.964726865,0.97210145,0.244229943
46,,0.0001,256,5,3,5,7,3,32,128,5,7,1,512,0.5,16,0.964726865,0.973997831,0.229454532
24,,0.0001,256,5,2,5,7,3,32,128,5,7,2,512,0.5,32,0.964578032,0.973407924,0.217619315
64,,0.0001,256,2,3,3,3,3,32,128,3,7,3,512,0.5,8,0.964578032,0.972646534,0.246590167
14,,0.001,160,2,2,5,7,2,24,32,5,7,2,128,0,24,0.964429259,0.974746525,0.1519752
78,,0.0001,32,2,3,5,7,3,8,128,3,7,1,64,0,32,0.964131594,0.973885477,0.146509677
84,,0.0001,256,2,3,3,7,2,32,128,5,7,1,512,0.2,8,0.963982761,0.974667907,0.156836465
50,,0.0001,256,5,3,5,7,3,32,128,5,7,3,512,0.5,32,0.963833928,0.97252214,0.211605623
53,,0.0001,256,2,3,5,7,3,32,128,5,7,2,512,0.5,32,0.963833928,0.972293377,0.251943231
4,,0.0001,256,3,3,5,5,2,24,128,5,7,3,512,0.5,24,0.963685095,0.972913742,0.238316357
29,,0.0001,224,3,3,5,7,2,24,128,5,7,1,256,0.5,32,0.963536263,0.97386241,0.188050851
42,,0.0001,256,4,1,5,7,2,16,128,5,7,2,512,0.5,32,0.9623456,0.971422315,0.195609778
27,,0.0001,256,3,1,5,5,3,32,128,5,7,1,512,0.5,32,0.962196767,0.973106205,0.193430573
95,,0.0001,256,5,1,5,7,3,32,112,5,7,3,512,0,32,0.962047935,0.973054588,0.161961302
97,,0.0001,160,2,3,3,5,3,16,128,5,7,2,512,0.5,8,0.962047935,0.971114099,0.22065185
47,,0.0001,224,4,1,5,5,3,16,112,5,7,3,320,0.2,16,0.961899102,0.97170043,0.193038434
62,,0.0001,224,3,2,5,5,3,32,128,5,7,3,192,0.5,24,0.961750269,0.972427666,0.255862772
54,,0.0001,256,4,1,5,3,1,32,128,5,7,2,512,0,8,0.961601436,0.971307337,0.209060878
70,,0.0001,256,5,1,5,3,3,32,128,5,7,2,512,0.5,32,0.961601436,0.971659184,0.205997556
68,,0.0001,32,4,2,5,3,1,16,96,3,3,2,320,0.2,8,0.961452603,0.970665157,0.253377885
9,,0.0001,256,2,3,5,7,3,32,128,5,7,2,512,0,32,0.961006105,0.970946074,0.224955291
39,,0.0001,224,3,3,5,5,3,8,16,5,7,1,448,0,8,0.960857272,0.972648561,0.192205459
72,,0.0001,256,4,1,3,7,2,32,128,3,7,2,512,0.2,24,0.960708439,0.972685933,0.20664227
18,,0.0001,256,2,3,3,7,3,8,128,5,7,3,512,0,16,0.960559607,0.971219838,0.251159608
31,,0.0001,256,2,2,5,5,3,16,128,5,7,2,512,0.5,16,0.960559607,0.971195459,0.217921093
45,,0.0001,256,5,1,5,7,3,16,16,3,7,1,512,0.5,8,0.960559607,0.970806479,0.24109301
2,,0.0001,256,2,3,5,3,2,8,112,5,7,1,384,0,16,0.960410774,0.971557975,0.183930129
77,,0.0001,256,2,1,3,7,3,32,128,5,7,3,512,0,32,0.960410774,0.971482992,0.16541636
92,,0.0001,256,5,1,5,3,2,8,112,5,7,1,512,0.2,32,0.960113108,0.969468594,0.200122938
6,,0.0001,256,2,1,3,7,3,32,128,5,7,1,512,0,32,0.959964275,0.972197473,0.162945136
76,,0.0001,256,2,1,3,7,2,8,112,3,7,1,512,0,24,0.959964275,0.970371306,0.154767185
89,,0.0001,256,5,3,5,7,3,32,128,5,7,1,320,0,32,0.95966661,0.970794797,0.180967346
75,,0.0001,256,2,3,5,3,3,32,128,3,3,1,512,0,32,0.959517777,0.971289217,0.169729128
11,,0.0001,256,4,1,5,5,3,32,112,5,7,3,512,0,32,0.958922446,0.973166287,0.166417405
73,,0.0001,256,5,1,3,3,3,8,128,3,7,1,320,0.5,24,0.958922446,0.970404148,0.219008163
22,,0.0001,32,2,1,3,3,3,8,128,5,7,1,64,0,8,0.957582951,0.969430268,0.14262557
13,,0.0001,256,5,3,3,3,1,32,128,3,7,1,512,0,8,0.957434118,0.968351364,0.160021573
17,,0.0001,32,2,3,3,7,1,32,16,3,7,3,512,0,8,0.956838787,0.967483938,0.164042577
48,,0.0001,224,3,1,5,7,2,8,96,3,7,2,512,0,16,0.956690013,0.970290899,0.162186548
87,,0.0001,256,2,1,5,5,3,32,64,3,5,1,192,0.2,16,0.956392348,0.970416665,0.179869488
55,,0.0001,256,2,1,5,7,1,32,128,3,7,1,64,0.5,8,0.956094682,0.966585279,0.206818834
0,,0.0001,256,2,1,5,7,3,8,16,3,3,1,512,0.5,8,0.955797017,0.968065023,0.217680275
58,,0.0001,256,2,1,5,5,2,8,128,3,3,2,64,0,8,0.955499351,0.966605127,0.240223989
65,,0.0001,256,5,1,3,7,1,32,16,3,7,1,512,0,8,0.955499351,0.967495203,0.167036802
26,,0.0001,256,2,1,5,3,2,8,128,3,7,1,64,0,8,0.955201685,0.966591358,0.211252555
60,,0.0001,256,2,1,5,3,3,32,128,3,3,1,64,0,8,0.954755187,0.967446387,0.18720521
79,,0.0001,256,2,1,3,3,1,32,16,5,3,1,512,0,8,0.954308689,0.966740787,0.165139198
16,,0.0001,256,2,1,5,3,1,8,128,3,7,3,512,0,32,0.954159856,0.966782033,0.160891414
67,,0.0001,256,5,1,5,3,1,32,16,3,7,1,64,0,32,0.953266859,0.9657076,0.222302437
21,,0.01,128,4,1,3,5,2,32,96,3,3,3,64,0.2,24,0.952373862,0.965005279,0.170545951
19,,0.01,96,2,2,5,3,1,16,48,5,7,2,512,0.5,16,0.943890452,0.950541735,0.240459785
10,,0.0001,256,2,1,3,3,3,24,16,3,7,3,64,0.5,8,0.940467358,0.95748502,0.326170564
49,,0.01,256,5,1,3,7,1,8,128,3,3,1,512,0,32,0.938532531,0.95519644,0.210941926
51,,0.01,256,5,3,5,7,1,32,128,5,3,1,64,0,8,0.937788367,0.956746697,0.19898504
66,,0.01,32,5,1,5,7,3,32,128,3,7,1,512,0,8,0.930049121,0.946148992,0.373122662
5,,0.01,32,5,3,5,3,3,32,16,5,3,3,512,0,8,0.877213895,0.91470474,0.411607802
35,,0.0001,64,5,2,3,7,2,8,48,5,5,3,64,0.5,16,0.877213895,0.960484326,0.238285795
94,,0.01,32,2,3,3,7,1,32,16,3,3,1,64,0.5,32,0.877213895,0.58945632,0.373324364
